,Commune,Département,Région
0,Abong-Mbang,Haut-Nyong,Est
1,Afanloum,Méfou-et-Afamba,Centre
2,Ako,Donga-Mantung,Nord-Ouest
3,Akoeman,Nyong-et-So'o,Centre
4,Akom II,Océan,Sud
5,Akono,Méfou-et-Akono,Centre
6,Akonolinga,Nyong-et-Mfoumou,Centre
7,Akwaya,Manyu,Sud-Ouest
8,Alou,Lebialem,Sud-Ouest
9,Ambam,Vallée-du-Ntem,Sud
10,Andek,Momo,Nord-Ouest
11,Angossas,Haut-Nyong,Est
12,Atok,Haut-Nyong,Est
13,Awaé,Méfou-et-Afamba,Centre
14,Ayos,Nyong-et-Mfoumou,Centre
15,Babadjou,Bamboutos,Ouest
16,Babessi,Ngo-Ketunjia,Nord-Ouest
17,Bafang,Haut-Nkam,Ouest
18,Bafia,Mbam-et-Inoubou,Centre
19,Bafoussam Ier,Mifi,Ouest
20,Bafoussam IIe,Mifi,Ouest
21,Bafoussam IIIe,Mifi,Ouest
22,Bafut,Mezam,Nord-Ouest
23,Baham,Hauts-Plateaux,Ouest
24,Bakou,Haut-Nkam,Ouest
25,Bali,Mezam,Nord-Ouest
26,Balikumbat,Ngo-Ketunjia,Nord-Ouest
27,Bamenda Ier,Mezam,Nord-Ouest
28,Bamenda IIe,Mezam,Nord-Ouest
29,Bamenda IIIe,Mezam,Nord-Ouest
30,Bamendjou,Hauts-Plateaux,Ouest
31,Bamusso,Ndian,Sud-Ouest
32,Bana,Haut-Nkam,Ouest
33,Bandja,Haut-Nkam,Ouest
34,Bandjoun,Koung-Khi,Ouest
35,Bangangté,Ndé,Ouest
36,Bangem,Koupé-Manengouba,Sud-Ouest
37,Banka,Haut-Nkam,Ouest
38,Bangou,Hauts-Plateaux,Ouest
39,Bangourain,Noun,Ouest
40,Bankim,Mayo-Banyo,Adamaoua
41,Banwa,Haut-Nkam,Ouest
42,Banyo,Mayo-Banyo,Adamaoua
43,Baré,Moungo,Littoral
44,Barndaké,Bénoué,Nord
45,Bashéo,Bénoué,Nord
46,Bassamba,Ndé,Ouest
47,Batcham,Bamboutos,Ouest
48,Batchenga,Lekié,Centre
49,Batibo,Momo,Nord-Ouest
50,Batié,Hauts-Plateaux,Ouest
51,Batouri,Kadey,Est
52,Bayangam,Koung-Khi,Ouest
53,Bazou,Ndé,Ouest
54,Beka,Faro,Nord
55,Bélabo,Lom-et-Djérem,Est
